9,0.28356608748435974,P250 | Inferno (Field-Tested)
9.3,0.20086514949798584,P250 | Inferno (Field-Tested)
9.9,0.2025914490222931,P250 | Inferno (Field-Tested)
9.99,0.28412842750549316,P250 | Inferno (Field-Tested)
9.99,0.3333127200603485,P250 | Inferno (Field-Tested)
9.99,0.2764641344547272,P250 | Inferno (Field-Tested)
10,0.1829948127269745,P250 | Inferno (Field-Tested)
10,0.35575366020202637,P250 | Inferno (Field-Tested)
10,0.28369760513305664,P250 | Inferno (Field-Tested)
10,0.3022277355194092,P250 | Inferno (Field-Tested)
10,0.18318097293376923,P250 | Inferno (Field-Tested)
10,0.190518319606781,P250 | Inferno (Field-Tested)
10,0.1935058832168579,P250 | Inferno (Field-Tested)
10,0.25036752223968506,P250 | Inferno (Field-Tested)
10,0.16145892441272736,P250 | Inferno (Field-Tested)
10.88,0.21857108175754547,P250 | Inferno (Field-Tested)
11,0.2992108166217804,P250 | Inferno (Field-Tested)
12,0.2309492826461792,P250 | Inferno (Field-Tested)
12.8,0.2005954384803772,P250 | Inferno (Field-Tested)
13,0.28955507278442383,P250 | Inferno (Field-Tested)
15,0.2221655547618866,P250 | Inferno (Field-Tested)
15,0.24645869433879852,P250 | Inferno (Field-Tested)
15,0.21784912049770355,P250 | Inferno (Field-Tested)
15,0.22440029680728912,P250 | Inferno (Field-Tested)
15,0.27850791811943054,P250 | Inferno (Field-Tested)
15,0.22226554155349731,P250 | Inferno (Field-Tested)
15.39,0.15239331126213074,P250 | Inferno (Field-Tested)
18,0.3019210994243622,P250 | Inferno (Field-Tested)
18,0.22222405672073364,P250 | Inferno (Field-Tested)
18.88,0.16892236471176147,P250 | Inferno (Field-Tested)
19,0.2698109447956085,P250 | Inferno (Field-Tested)
20,0.33648669719696045,P250 | Inferno (Field-Tested)
20,0.2222251445055008,P250 | Inferno (Field-Tested)
20,0.27662500739097595,P250 | Inferno (Field-Tested)
20,0.296774297952652,P250 | Inferno (Field-Tested)
28,0.23442743718624115,P250 | Inferno (Field-Tested)
30,0.2952900528907776,P250 | Inferno (Field-Tested)
38,0.27793049812316895,P250 | Inferno (Field-Tested)
38.88,0.27050909399986267,P250 | Inferno (Field-Tested)
40,0.21014049649238586,P250 | Inferno (Field-Tested)
48.99,0.15000568330287933,P250 | Inferno (Field-Tested)
50,0.25555506348609924,P250 | Inferno (Field-Tested)
60,0.20089170336723328,P250 | Inferno (Field-Tested)
66,0.29860711097717285,P250 | Inferno (Field-Tested)
69.63,0.18162980675697327,P250 | Inferno (Field-Tested)
201.81,0.20010817050933838,P250 | Inferno (Field-Tested)
306,0.20220306515693665,P250 | Inferno (Field-Tested)
888.88,0.20044250786304474,P250 | Inferno (Field-Tested)
998,0.27680012583732605,P250 | Inferno (Field-Tested)
999,0.1992635726928711,P250 | Inferno (Field-Tested)
1000,0.16987866163253784,P250 | Inferno (Field-Tested)
150000,0.17264403402805328,P250 | Inferno (Field-Tested)
6.85,0.12938843667507172,P250 | Inferno (Minimal Wear)
6.87,0.14122921228408813,P250 | Inferno (Minimal Wear)
6.9,0.12895534932613373,P250 | Inferno (Minimal Wear)
6.91,0.13594761490821838,P250 | Inferno (Minimal Wear)
6.91,0.13737046718597412,P250 | Inferno (Minimal Wear)
6.92,0.13417860865592957,P250 | Inferno (Minimal Wear)
6.94,0.14082425832748413,P250 | Inferno (Minimal Wear)
6.94,0.14292499423027039,P250 | Inferno (Minimal Wear)
6.96,0.14115114510059357,P250 | Inferno (Minimal Wear)
6.96,0.13742464780807495,P250 | Inferno (Minimal Wear)
6.96,0.13595987856388092,P250 | Inferno (Minimal Wear)
6.96,0.12513487040996552,P250 | Inferno (Minimal Wear)
6.98,0.12929360568523407,P250 | Inferno (Minimal Wear)
6.99,0.13579140603542328,P250 | Inferno (Minimal Wear)
7,0.1309494525194168,P250 | Inferno (Minimal Wear)
7,0.1271076202392578,P250 | Inferno (Minimal Wear)
7,0.13599132001399994,P250 | Inferno (Minimal Wear)
7.02,0.13644494116306305,P250 | Inferno (Minimal Wear)
7.03,0.14539167284965515,P250 | Inferno (Minimal Wear)
7.04,0.14615215361118317,P250 | Inferno (Minimal Wear)
7.06,0.14781317114830017,P250 | Inferno (Minimal Wear)
7.1,0.14406098425388336,P250 | Inferno (Minimal Wear)
7.13,0.14711226522922516,P250 | Inferno (Minimal Wear)
7.13,0.14630262553691864,P250 | Inferno (Minimal Wear)
7.13,0.14247740805149078,P250 | Inferno (Minimal Wear)
7.13,0.1370331048965454,P250 | Inferno (Minimal Wear)
7.13,0.13697516918182373,P250 | Inferno (Minimal Wear)
7.13,0.1296454817056656,P250 | Inferno (Minimal Wear)
7.13,0.12844136357307434,P250 | Inferno (Minimal Wear)
7.13,0.12704810500144958,P250 | Inferno (Minimal Wear)
7.13,0.12245651334524155,P250 | Inferno (Minimal Wear)
7.15,0.1479002833366394,P250 | Inferno (Minimal Wear)
7.15,0.13732334971427917,P250 | Inferno (Minimal Wear)
7.25,0.141290083527565,P250 | Inferno (Minimal Wear)
7.28,0.1487223356962204,P250 | Inferno (Minimal Wear)
7.29,0.1463499665260315,P250 | Inferno (Minimal Wear)
7.29,0.1415279656648636,P250 | Inferno (Minimal Wear)
7.29,0.12607769668102264,P250 | Inferno (Minimal Wear)
7.33,0.14976464211940765,P250 | Inferno (Minimal Wear)
7.33,0.14957934617996216,P250 | Inferno (Minimal Wear)
7.33,0.14736407995224,P250 | Inferno (Minimal Wear)
7.33,0.14498476684093475,P250 | Inferno (Minimal Wear)
7.33,0.14171750843524933,P250 | Inferno (Minimal Wear)
7.33,0.13997767865657806,P250 | Inferno (Minimal Wear)
7.33,0.13992837071418762,P250 | Inferno (Minimal Wear)
7.33,0.13970816135406494,P250 | Inferno (Minimal Wear)
7.34,0.14086395502090454,P250 | Inferno (Minimal Wear)
7.39,0.14165209233760834,P250 | Inferno (Minimal Wear)
7.41,0.14116929471492767,P250 | Inferno (Minimal Wear)
7.44,0.12813445925712585,P250 | Inferno (Minimal Wear)
7.44,0.14286969602108002,P250 | Inferno (Minimal Wear)
7.48,0.12704861164093018,P250 | Inferno (Minimal Wear)
7.49,0.14523257315158844,P250 | Inferno (Minimal Wear)
7.55,0.13171203434467316,P250 | Inferno (Minimal Wear)
7.59,0.14587616920471191,P250 | Inferno (Minimal Wear)
7.59,0.14409010112285614,P250 | Inferno (Minimal Wear)
7.59,0.1411285698413849,P250 | Inferno (Minimal Wear)
7.59,0.13999591767787933,P250 | Inferno (Minimal Wear)
7.59,0.13767696917057037,P250 | Inferno (Minimal Wear)
7.59,0.12641677260398865,P250 | Inferno (Minimal Wear)
7.59,0.12356441468000412,P250 | Inferno (Minimal Wear)
7.59,0.1367267370223999,P250 | Inferno (Minimal Wear)
7.59,0.13685745000839233,P250 | Inferno (Minimal Wear)
7.6,0.1331721842288971,P250 | Inferno (Minimal Wear)
7.6,0.1272859126329422,P250 | Inferno (Minimal Wear)
7.63,0.12905122339725494,P250 | Inferno (Minimal Wear)
7.63,0.12877120077610016,P250 | Inferno (Minimal Wear)
7.63,0.1290474385023117,P250 | Inferno (Minimal Wear)
7.63,0.12842221558094025,P250 | Inferno (Minimal Wear)
7.72,0.14987574517726898,P250 | Inferno (Minimal Wear)
7.8,0.1277988851070404,P250 | Inferno (Minimal Wear)
7.8,0.13347838819026947,P250 | Inferno (Minimal Wear)
7.86,0.13003674149513245,P250 | Inferno (Minimal Wear)
7.9,0.13722658157348633,P250 | Inferno (Minimal Wear)
